fold,accuracy,precision,recall,f1_score,roc_auc,tn,fp,fn,tp
1,0.771536730100266,0.13428571428571429,0.746031746031746,0.22760290556900725,0.83611161525934,7212,2121,112,329
2,0.7802332719459791,0.1388653683319221,0.7420814479638009,0.23395149786019973,0.8423922793753988,7298,2034,114,328
3,0.777652716668372,0.13398140321217245,0.7188208616780045,0.2258639116494478,0.8222160988984821,7283,2049,124,317
4,0.7780620075718817,0.14385820280296785,0.7913832199546486,0.24346006278339727,0.8547592561813981,7255,2077,92,349
5,0.7767318121354753,0.13804573804573805,0.7528344671201814,0.23330990864371048,0.8329887748784326,7259,2073,109,332
