,Accuracy,Precision,Recall,AUC
0,0.8424701502118372,0.9006313477902828,0.791365171249397,0.9099359449275213
1,0.8378274268104776,0.8948233360723089,0.7879884225759769,0.9042319426596446
2,0.8364149974319466,0.8986674069961132,0.7807525325615051,0.9074170985286361
3,0.8454031843862352,0.8992942453854506,0.7990834539315003,0.9104796032141498
4,0.8418079096045198,0.9004947773501925,0.7901591895803184,0.9108790142765448
Mean,0.8407847336890033,0.8987822227188695,0.7898697539797397,0.9085887207212993
Std,0.003257540900197808,0.0021118825836961377,0.005897040729353049,0.0024895826105455925
