Metric,Mean,Std,Min,Max
Accuracy,0.7768433076843948,0.002891519563403627,0.771536730100266,0.7802332719459791
Precision,0.13780728533570294,0.003600800972026395,0.13398140321217245,0.14385820280296785
Recall,0.7502303485496762,0.02354115106704515,0.7188208616780045,0.7913832199546486
F1-Score,0.2328376573011525,0.006169844640874161,0.2258639116494478,0.24346006278339727
ROC-AUC,0.8376936049186104,0.010747141985347267,0.8222160988984821,0.8547592561813981
