Rank,Feature,MI_Score
1,GenHlth,0.023458896488948833
2,HighChol,0.016582904403713572
3,HighBP,0.016317469985237976
4,BMI,0.014552310049033235
5,DiffWalk,0.009033209661637676
6,Age,0.00765502723982725
7,PhysHlth,0.006405359893766782
8,Income,0.005859536757260697
9,PhysActivity,0.004694520826262982
10,Fruits,0.0039596839976090425
