n_features,accuracy,precision,recall,f1_score,roc_auc,cv_recall_mean,cv_recall_std,features,marginal_recall_gain,marginal_f1_gain
5,0.7740945365254758,0.13172155064610255,0.7165532879818595,0.22253521126760564,0.8274467042433246,0.7507233452513192,0.0034483392922987012,"['HighBP', 'HighChol', 'BMI', 'GenHlth', 'DiffWalk']",71.65532879818595,22.253521126760564
7,0.775219971352568,0.13658940397350994,0.7482993197278912,0.23101155057752887,0.8328663584438025,0.7584119443733225,0.006003655655111977,"['HighBP', 'HighChol', 'BMI', 'GenHlth', 'PhysHlth', 'DiffWalk', 'Age']",3.1746031746031744,0.8476339309923225
10,0.7737875997544506,0.13610197368421054,0.7505668934240363,0.23042116254785938,0.8361866908269076,0.7667971167887861,0.00529853287208094,"['HighBP', 'HighChol', 'BMI', 'AnyHealthcare', 'GenHlth', 'PhysHlth', 'DiffWalk', 'Sex', 'Age', 'Income']",0.22675736961450532,-0.059038802966948634
12,0.7737875997544506,0.13520197856553998,0.7437641723356009,0.2288106034182072,0.8361089426663197,0.765270044025436,0.005026159425859935,"['HighBP', 'HighChol', 'BMI', 'HeartDiseaseorAttack', 'PhysActivity', 'AnyHealthcare', 'GenHlth', 'PhysHlth', 'DiffWalk', 'Sex', 'Age', 'Income']",-0.6802721088435382,-0.16105591296521893
15,0.7774708410067526,0.14114238410596028,0.7732426303854876,0.23871193559677983,0.8386538586290618,0.7787989024232919,0.004112407146251672,"['HighBP', 'HighChol', 'CholCheck', 'BMI', 'HeartDiseaseorAttack', 'PhysActivity', 'Fruits', 'AnyHealthcare', 'GenHlth', 'MentHlth', 'PhysHlth', 'DiffWalk', 'Sex', 'Age', 'Income']",2.947845804988669,0.9901332178572642
18,0.77573153263761,0.14015618577887382,0.7732426303854876,0.2372999304105776,0.8387316067896498,0.782093900475637,0.003535184919058744,"['HighBP', 'HighChol', 'CholCheck', 'BMI', 'Smoker', 'HeartDiseaseorAttack', 'PhysActivity', 'Fruits', 'AnyHealthcare', 'NoDocbcCost', 'GenHlth', 'MentHlth', 'PhysHlth', 'DiffWalk', 'Sex', 'Age', 'Education', 'Income']",0.0,-0.1412005186202242
21,0.7768569674647022,0.14138499587798845,0.7777777777777778,0.23927450296477154,0.8385254526825909,0.7825225496463629,0.004151824716963432,"['HighBP', 'HighChol', 'CholCheck', 'BMI', 'Smoker', 'Stroke', 'HeartDiseaseorAttack', 'PhysActivity', 'Fruits', 'Veggies', 'HvyAlcoholConsump', 'AnyHealthcare', 'NoDocbcCost', 'GenHlth', 'MentHlth', 'PhysHlth', 'DiffWalk', 'Sex', 'Age', 'Education', 'Income']",0.45351473922902175,0.19745725541939485
